dataset,injection_rate,seed,precision,recall,f1,true_positives,false_positives,false_negatives,abstained,elapsed_sec
SmartFactory,0.1,2025,0.7269209508015478,0.6001825650387951,0.6575,1315,494,876,382,416.1
SmartFactory,0.15,42,0.7582025677603423,0.6469872185027389,0.6981937602627257,2126,678,1160,482,357.3
SmartFactory,0.15,123,0.7684746996723698,0.6424223980523432,0.6998176694845019,2111,636,1175,539,336.8
SmartFactory,0.15,2025,0.6008344923504868,0.5258673158855751,0.560856864654333,1728,1148,1558,410,401.9
SmartFactory,0.2,42,0.7433276547416241,0.597444089456869,0.6624493927125505,2618,904,1764,860,391.1
SmartFactory,0.2,123,0.7768528464017186,0.6602008215426746,0.7137922526523562,2893,831,1489,658,354.4
SmartFactory,0.2,2025,0.7471134891579837,0.6054313099041534,0.6688516324215303,2653,898,1729,831,389.0
SmartFactory,0.25,42,0.7371581054036024,0.6051478641840088,0.6646616541353384,3315,1182,2163,981,386.6
SmartFactory,0.25,123,0.6896031061259706,0.5836071558963125,0.6321929998022543,3197,1439,2281,842,347.2
SmartFactory,0.25,2025,0.743515205724508,0.6069733479372034,0.6683417085427136,3325,1147,2153,1006,394.3
SmartFactory,0.3,42,0.7155946490745831,0.5940970637456261,0.6492103075644223,3905,1552,2668,1116,375.4
SmartFactory,0.3,123,0.772264631043257,0.6464323748668797,0.703768115942029,4249,1253,2324,1071,319.9
SmartFactory,0.3,2025,0.7488207547169812,0.5796439981743496,0.6534602521224594,3810,1278,2763,1485,401.5
MIMIC-IV,0.1,42,0.9139820520243166,0.9032429450109324,0.9085807665032528,44202,4160,4735,575,3255.1
MIMIC-IV,0.1,123,0.8975784531751915,0.8907370701105503,0.8941446754392263,43590,4974,5347,373,3424.1
MIMIC-IV,0.1,2025,0.873020788175306,0.8641723031652941,0.8685740105567993,42290,6151,6647,496,3667.5
MIMIC-IV,0.05,42,0.8753031112572438,0.8704021579205493,0.8728457550359638,21297,3034,3171,137,3153.4
MIMIC-IV,0.05,123,0.8904253973607656,0.8631682197155468,0.8765849710502832,21120,2599,3348,749,3401.2
MIMIC-IV,0.05,2025,0.88113413304253,0.8585908124897825,0.8697164148209481,21008,2834,3460,626,3636.4
MIMIC-IV,0.15,42,0.8684024456182673,0.8533069954362782,0.8607885442576994,62637,9492,10768,1276,3144.2
MIMIC-IV,0.15,123,0.8684812601394917,0.8532661262856753,0.8608064649130039,62634,9485,10771,1286,3153.8
MIMIC-IV,0.15,2025,0.870827848978178,0.8562359512294803,0.8634702569034207,62852,9323,10553,1230,3154.0
MIMIC-IV,0.2,42,0.8380077778247453,0.8102151746122566,0.8238771545230699,79299,15329,18575,3246,3166.0
MIMIC-IV,0.2,123,0.756594435666977,0.7388070376197969,0.7475949484871826,72310,23263,25564,2301,3212.1
MIMIC-IV,0.2,2025,0.6500353122014042,0.6394752436806507,0.6447120386489354,62588,33696,35286,1590,2931.5
MIMIC-IV,0.25,42,0.8044170951698558,0.7800101355217341,0.7920256295337217,95428,23202,26914,3712,3377.8
MIMIC-IV,0.25,123,0.8180714112217634,0.7983521603374147,0.8080915051606098,97672,21721,24670,2949,6659.3
MIMIC-IV,0.25,2025,0.8237630973465976,0.8135554429386473,0.818627450980392,99532,21294,22810,1516,2784.8
MIMIC-IV,0.3,42,0.6186522896108216,0.6080879498130249,0.6133246311595075,89274,55030,57537,2507,3096.4
MIMIC-IV,0.3,123,0.49752867154048436,0.49229281184652374,0.4948968936273654,72274,72992,74537,1545,2681.1
MIMIC-IV,0.3,2025,0.8153399467699008,0.8033662327754733,0.8093088044574668,117943,26712,28868,2156,3173.6
CybersecIoT,0.05,42,0.9802618328298086,0.9757417802726543,0.9779965839445394,4867,98,121,23,871.5
CybersecIoT,0.05,123,0.9410577311263625,0.9346431435445068,0.9378394689197345,4662,292,326,34,952.5
CybersecIoT,0.05,2025,0.9409163987138264,0.9386527666399358,0.9397832195905258,4682,294,306,12,1109.3
CybersecIoT,0.1,42,0.8537475242364224,0.8212996389891697,0.8372093023255813,8190,1403,1782,379,956.8
CybersecIoT,0.1,123,0.8483116883116883,0.8187926193341356,0.8332908098178293,8165,1460,1807,347,951.8
CybersecIoT,0.1,2025,0.8685246581019478,0.840653830726033,0.8543620057072971,8383,1269,1589,320,996.7
CybersecIoT,0.15,42,0.9650087143048666,0.9619779485466088,0.9634909480306528,14396,522,569,47,841.0
CybersecIoT,0.15,123,0.9304149627941275,0.9274306715669897,0.928920420319925,13879,1038,1086,48,871.5
CybersecIoT,0.15,2025,0.9181720140199515,0.9102572669562312,0.9141975101506662,13622,1214,1343,129,806.2
CybersecIoT,0.2,42,0.9082725672617551,0.9051771663409011,0.9067222250112956,18061,1824,1892,68,805.0
CybersecIoT,0.2,123,0.9204396490874256,0.9149501328121085,0.9176866815794102,18256,1578,1697,119,833.7
CybersecIoT,0.2,2025,0.9518577196299892,0.9334435924422393,0.9425607287449392,18625,942,1328,386,905.1
CybersecIoT,0.25,42,0.9637339142361532,0.9578605509001243,0.9607882565855621,23890,899,1051,152,714.9
CybersecIoT,0.25,123,0.9665081412219894,0.9615091616214265,0.9640021707233735,23981,831,960,129,826.9
CybersecIoT,0.25,2025,0.9549913211964639,0.9485585982919691,0.951764090598222,23658,1115,1283,168,1074.2
CybersecIoT,0.3,42,0.927708011550601,0.9231206147677915,0.9254086280814575,27629,2153,2301,148,813.0
CybersecIoT,0.3,123,0.9255542748660927,0.9121951219512195,0.9188261425590631,27302,2196,2628,432,887.6
