dataset,component_disabled,seed,precision,recall,f1
Road Traffic Fine,full,42,0.7971994010279655,0.7016581473631717,0.7463837446123243
Road Traffic Fine,full,123,0.8239659172733819,0.7336990400199477,0.7762169902866888
Road Traffic Fine,full,2025,0.9577934716120781,0.920298502146152,0.9386717046940852
EnvPermits,full,42,0.944300518134715,0.8506417736289381,0.8950276243093923
EnvPermits,full,123,0.7667844522968198,0.7596266044340724,0.7631887456037515
EnvPermits,full,2025,0.7947805456702254,0.7817969661610268,0.788235294117647
Help desk,full,42,0.7374701670644391,0.5791940018744143,0.6488188976377953
Help desk,full,123,0.6785518376302797,0.5796626054358013,0.6252211271165024
Help desk,full,2025,0.6937772925764192,0.5955951265229615,0.6409480584972264
BPIC2020 Permit,full,42,0.8662379421221865,0.31115731115731116,0.4578518014955813
BPIC2020 Permit,full,123,0.8505988023952096,0.32813582813582814,0.47357892982163696
BPIC2020 Permit,full,2025,0.852641056422569,0.32813582813582814,0.47389491242702253
